"genes","logFC","logCPM","LR","PValue","FDR"
"H2scaf27-aug6682",6.28732538684125,1.99191857392152,196.868647837245,1.00737089551213e-44,2.83685717885172e-40
"H2scaf31-aug8831",3.73168029605453,3.11260088674817,154.53262724959,1.77145460151747e-35,2.49429665166667e-31
"H2scaf21-aug9288",4.39653151322601,4.0265054625371,124.337090793025,7.10817662014789e-29,6.67244539333283e-25
"H2scaf124-aug21111",-2.360789102593,4.78031915092585,101.563491811981,6.92091646143741e-24,4.87249821176347e-20
"H2scaf36-aug22112",-2.68875482119096,4.94135031583112,99.5470400532037,1.91559007911421e-23,1.07889864435871e-19
"H2scaf71-aug15848",2.50508745266187,5.47273251352782,88.320516085001,5.56631275899648e-21,2.612548893435e-17
"H2scaf1-aug9935",-2.33529177352288,3.39905894521809,78.4757128541547,8.09878549722848e-19,3.25814140553502e-15
"H2scaf62-aug14397",3.13152092343409,2.59074008466095,77.3254566569614,1.44985228349996e-18,5.10366126945528e-15
"H2scaf34-aug7745",2.72369210578269,3.49088000998765,68.2234881649159,1.45976544700825e-16,4.56760608368881e-13
"H2scaf149-aug22315",2.55342016773655,4.03269002250642,67.7694790319944,1.83772272736347e-16,5.17521097252827e-13
"H2scaf33-aug10038",-2.41883485123281,5.41638660122443,66.7164976467487,3.135003956896e-16,8.02589513001347e-13
"H2scaf96-aug20168",2.40869929289874,4.21081385356369,65.9766453869179,4.56297869574526e-16,1.07081702542402e-12
"H2scaf249-aug23628",4.09457605095182,1.55718325954874,62.5731324749655,2.56732039180402e-15,5.56140842719947e-12
"H2scaf2-aug5766",-3.15291412632886,2.85263586538618,61.4767519688849,4.48001767995137e-15,8.90149569415057e-12
"H2scaf23-aug6233",1.76170967172367,4.76519735692254,61.3651058467496,4.74139538412196e-15,8.90149569415057e-12
"H2scaf76-aug17372",-1.95792734053683,3.42759121952671,60.5401178545781,7.20941104262774e-15,1.2689014023215e-11
"H2scaf70-aug18077",2.39377696728965,8.4164909496603,59.000341198826,1.57644628569782e-14,2.61142963832567e-11
"H2scaf22-aug5891",-6.91215266044028,-1.42449879647054,51.2941155085206,7.95136263686926e-13,1.2439906845382e-09
"H2scaf65-aug17193",-4.31421418753132,-0.678307283997241,49.6515340061353,1.8362645696221e-12,2.72163402869094e-09
"H2scaf16-aug1388",2.91661882754981,1.32164692091337,48.5927440018398,3.15032646209524e-12,4.4358171749532e-09
"H2scaf120-aug20874",3.11622918486595,-0.0619956780373109,45.9336094930646,1.22329136061848e-11,1.64043371458938e-08
"H2scaf86-aug19074",4.38302419824885,-1.07711012475869,45.2623331439242,1.72331874557309e-11,2.2059263270038e-08
"H2scaf112-aug20388",1.86913779728811,5.04234152363968,44.7240155096171,2.26857669808391e-11,2.77762558238005e-08
"H2scaf22-aug5873",-1.49311565371825,5.01123589727513,44.0438002047998,3.21109340306879e-11,3.76781672182584e-08
"H2scaf44-aug26877",-4.41951231723583,-0.57678682519399,42.9352318334914,5.65824249756233e-11,6.37367067895411e-08
"H2scaf18-aug3700",-2.19523436375749,0.82666084935938,40.4287892743982,2.03914171161771e-10,2.20862575926409e-07
"H2scaf43-aug10956",1.62256303222957,4.18749175886872,40.2500227017704,2.23452747433487e-10,2.33061215573127e-07
"H2scaf30-aug10919",-1.56193426975407,3.47686814056098,40.1353324244737,2.36964034967785e-10,2.3832657816885e-07
"H2scaf9-aug22752",2.37613130661999,-0.206640339468843,37.7404232279855,8.08124771457147e-10,7.84744885827749e-07
"H2scaf75-aug17444",-1.40918326493627,3.5560698106144,37.15752949266,1.08961208442636e-09,1.00923585354902e-06
"H2scaf34-aug7747",2.18615282953886,0.325390822734018,37.1028364173317,1.12060599468554e-09,1.00923585354902e-06
"H2scaf133-aug21614",6.10190145792009,-1.98893833185265,37.0577507193426,1.14681819940941e-09,1.00923585354902e-06
"H2scaf82-aug17955",-1.75935984283244,4.44885033791258,36.2811345625258,1.70809316147189e-09,1.45762459152151e-06
"H2scaf1-aug10020",-1.37749652759938,4.8930325652113,35.4625707193821,2.59998976163062e-09,2.15347975521411e-06
"H2scaf30-aug10800",-1.27360431512769,8.86208095332695,34.101347193541,5.23150341162274e-09,4.13750701339041e-06
"H2scaf32-aug14775",2.09967412607475,5.17772818279838,34.0799901136866,5.28923875153776e-09,4.13750701339041e-06
"H2scaf1401-aug25166",1.54015414039049,5.20272890831253,34.0220086361501,5.44922033389034e-09,4.14744577899151e-06
"H2scaf4498-aug26642",1.6569537547985,3.60840840091175,33.6397836608942,6.63222953490676e-09,4.91500568243445e-06
"H2scaf56-aug13630",1.51922697443625,4.76508315317012,33.503668409561,7.11297076037765e-09,5.13611204058962e-06
"H2scaf14-aug160",6.00853824784448,-2.05793145566002,33.3968008160627,7.51474792401967e-09,5.29057040720795e-06
"H2scaf921-aug24769",1.53609780580074,5.36788760076103,32.7743844694643,1.03499771340986e-08,7.07675859405044e-06
"H2scaf82-aug18002",1.84487528568431,4.69021405120835,32.7363569602379,1.05544498046986e-08,7.07675859405044e-06
"H2scaf30-aug10825",-1.22341304532398,7.3907779197358,32.402036224187,1.25355054008033e-08,8.20958994400048e-06
"H2scaf1-aug10002",-1.28373447631112,6.9573334794848,32.1140861426459,1.45379408363706e-08,9.30461254302347e-06
"H2scaf84-aug24082",2.08978457663032,-0.0101195402905559,31.6308586037358,1.86443255037856e-08,1.1667618900269e-05
"H2scaf30-aug10921",-1.48802250976551,1.73119617929042,31.1177876150909,2.42835882873142e-08,1.48663071686751e-05
"H2scaf30-aug10824",-1.22794614963992,7.02886470394254,30.7618690525826,2.91714076324187e-08,1.71212289920167e-05
"H2scaf5201-aug27022",1.55415797939653,4.72376516332937,30.7611062800387,2.91828767308264e-08,1.71212289920167e-05
"H2scaf6204-aug27270",1.48133614068862,5.72795687157433,30.5635827647087,3.2310188940384e-08,1.85691271581664e-05
"H2scaf22-aug5998",1.50457120543815,7.09425104489309,30.4703662330174,3.39005563433775e-08,1.90934713437171e-05
"H2scaf1-aug10021",-1.46452277039144,3.81708185609487,30.2915436191803,3.71743092752398e-08,1.95126606603598e-05
"H2scaf117-aug20790",3.07558901015216,2.3127489904645,30.2875830756011,3.72502934797636e-08,1.95126606603598e-05
"H2scaf284-aug23725",1.50714454433512,7.44641091391728,30.2814485513684,3.73682934137863e-08,1.95126606603598e-05
"H2scaf13-aug16402",-1.28229065215247,6.63304836065883,30.2789523747333,3.7416415456107e-08,1.95126606603598e-05
"H2scaf62-aug14327",-5.7236170685255,-2.28093759631718,30.2012516736895,3.89458041119574e-08,1.99409598108515e-05
"H2scaf12-aug987",1.92030169190655,2.35116779351649,30.0763448244087,4.15367119405691e-08,2.03924853888054e-05
"H2scaf6045-aug27232",1.47387961361914,5.61601231408102,30.0552811872642,4.19903408882757e-08,2.03924853888054e-05
"H2scaf1-aug10028",-1.53206794189565,3.3952454617074,30.02855456277,4.25730800814676e-08,2.03924853888054e-05
"H2scaf57-aug13749",1.82814050180873,1.48064801405659,30.0216827623636,4.27242156862157e-08,2.03924853888054e-05
"H2scaf14-aug225",1.94331419899434,0.314906378426105,29.9613737747735,4.40739018517619e-08,2.06860858341245e-05
"H2scaf72-aug15735",-3.0541111165711,-1.16491343780668,29.8844155920048,4.58584066472147e-08,2.11470320739755e-05
"H2scaf1-aug10005",-1.25157878967113,5.42398872492521,29.8550665343302,4.6557863306931e-08,2.11470320739755e-05
"H2scaf1-aug10023",-1.4614194764094,3.35920601961272,29.7534815577222,4.90624402187978e-08,2.19309107778026e-05
"H2scaf1-aug9990",-1.23617814565769,6.14702266410206,29.7185322133649,4.99549681959867e-08,2.19809665526122e-05
"H2scaf30-aug10841",-1.35268757541789,6.73778488914978,29.547543464159,5.45617616539938e-08,2.36386733836634e-05
"H2scaf6119-aug27249",1.48014434738539,4.62796178887749,29.3825977597014,5.94087324048903e-08,2.53486259583957e-05
"H2scaf121-aug21268",2.16165093488238,0.758484356420222,29.3444265185981,6.05905318030807e-08,2.54670144195008e-05
"H2scaf30-aug10834",-2.09004577400451,1.42924905471371,28.9238578665208,7.52799588149566e-08,3.11758664733528e-05
"H2scaf30-aug10784",-1.16741935985878,6.17188166101513,28.4959440086126,9.3894979770949e-08,3.81214906053128e-05
